file,image_url,image_src,dest,action,note
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-instance-connect-terminal.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-instance-connect-terminal.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/ec2-instance-connect-terminal.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-terrafrom-apply.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-terrafrom-apply.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/ec2-terrafrom-apply.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/security-03.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/security-03.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/security-03.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/aws-sts-get-caller-identity.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/aws-sts-get-caller-identity.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/aws-sts-get-caller-identity.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-7.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-7.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/ec2-7.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/aws-ec2-instance-connect.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/aws-ec2-instance-connect.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/aws-ec2-instance-connect.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-terraform-plan.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-terraform-plan.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/ec2-terraform-plan.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-4.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-4.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/ec2-4.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-5.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/ec2-5.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/ec2-5.png,unused-move,unused
/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/security-02.png,,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/01Cloud101/img/security-02.png,/home/ubuntu/pythonProjects/Public-Cloud-104-CNAPP/content/unusedimages/01Cloud101/img/security-02.png,unused-move,unused
